timestamp,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight,label
22.9905799,0.05405357,0.03906502,0.01323762,0.06871104,0.05300884,0.0009123003,4.763631E-06,1.784063E-06,0.2055617,0.2330377,0.2094259,0.2256356,0.02882487,0.2952645,0.2511033,0.01139034,0.07960062,0.05555968,0.5096228,0.4947281,0.005316115,0.005432263,0.002123592,0.0007452322,0.1798954,0.0008987559,0.007146774,0.01623432,0.07514463,0.0001680449,0.0001105269,0.02996817,0.0002747707,0.132775,0.2641509,0.1249304,0.1714067,0.004489921,0.004213776,0.001973456,0.0223383,0.002103911,0.00964522,0.9692051,0.9754693,0.1313784,0.0412805,0.6605376,0.7741912,2.051524E-06,4.637126E-06,Happy
23.0114395,0.05442064,0.03905505,0.01324758,0.0683339,0.05302362,0.0009177361,4.733624E-06,1.792222E-06,0.2056577,0.2331609,0.2095407,0.2257949,0.02811763,0.3015321,0.2569625,0.01097222,0.07950289,0.05546898,0.5096883,0.4936832,0.005325038,0.005429111,0.002136964,0.0007450808,0.1799792,0.000909835,0.007122697,0.01642561,0.07572992,0.0001676265,0.0001102743,0.02956893,0.0002731372,0.1343198,0.2664275,0.1261894,0.1723464,0.004395301,0.0042163,0.00199626,0.02282084,0.002103293,0.009608249,0.9691613,0.9754179,0.130234,0.04094862,0.6595232,0.7736761,2.062405E-06,4.640798E-06,Happy
23.031392,0.05446216,0.03888068,0.01326998,0.06836116,0.05342377,0.0009239369,4.760393E-06,1.812108E-06,0.205799,0.2329228,0.2095715,0.2260811,0.02813983,0.3014643,0.2569905,0.01101332,0.07955848,0.05546173,0.5096326,0.4928147,0.005330916,0.005460129,0.00214722,0.0007676588,0.1805774,0.0008979343,0.007095001,0.0164052,0.07528648,0.0001717382,0.000112847,0.02950215,0.0002816847,0.1345537,0.266684,0.1269623,0.1731951,0.004341869,0.004049224,0.001998995,0.02286996,0.002113615,0.009649347,0.9694807,0.9755856,0.1335286,0.04152086,0.6577482,0.7719703,2.069601E-06,4.679413E-06,Happy
23.0504874,0.05387979,0.03853888,0.01328858,0.06853623,0.05378265,0.0009227303,4.753919E-06,1.813925E-06,0.2077302,0.233723,0.2088683,0.2259648,0.02810434,0.3050974,0.259602,0.01074501,0.07992867,0.05574115,0.5124087,0.4931438,0.005267312,0.00546147,0.002141922,0.0007749907,0.1818788,0.0008964203,0.007124953,0.01630906,0.07456288,0.0001731258,0.0001138649,0.02950438,0.0002823006,0.1344179,0.266043,0.1268375,0.1727728,0.004301015,0.004004903,0.001982891,0.02289676,0.002109368,0.009567023,0.9697149,0.9757491,0.1345282,0.04197541,0.6577494,0.7706361,2.071046E-06,4.654076E-06,Happy
23.0705938,0.0531086,0.03812965,0.01338848,0.06880771,0.05425594,0.0009263208,4.793549E-06,1.836836E-06,0.2078758,0.2333876,0.2083421,0.2256897,0.0288506,0.3017787,0.2559566,0.01094979,0.0803474,0.05604224,0.5122039,0.493431,0.005277598,0.005498609,0.00214917,0.0007897911,0.1824057,0.000889029,0.007125715,0.01635043,0.0741441,0.0001764352,0.000116038,0.02964095,0.000292147,0.1344675,0.2661985,0.127721,0.1742108,0.004255276,0.00384069,0.001984055,0.0229635,0.00211932,0.009558708,0.9700976,0.9759794,0.137713,0.04258484,0.6574084,0.7692313,2.0732E-06,4.669681E-06,Happy
23.0926187,0.05287999,0.03813034,0.01343294,0.06873057,0.05440349,0.0009284238,4.799281E-06,1.851103E-06,0.2078162,0.2330209,0.2080434,0.2255165,0.02887717,0.3014306,0.2557467,0.01100175,0.08053146,0.05612698,0.5123129,0.4930009,0.005289793,0.005512002,0.002152317,0.0007972285,0.1825024,0.0008833782,0.007125921,0.01641169,0.07344008,0.0001773795,0.0001168973,0.02969288,0.0002996686,0.134097,0.2661533,0.1280863,0.1745787,0.004248827,0.003729677,0.001983888,0.02294112,0.00212705,0.009557738,0.9702135,0.9760477,0.1379619,0.0429596,0.6579073,0.7691311,2.075918E-06,4.687113E-06,Happy
23.1135084,0.05267645,0.03801934,0.01345187,0.06876177,0.0544914,0.0009302492,4.809765E-06,1.857308E-06,0.2078382,0.2328531,0.2076682,0.225287,0.02882699,0.3022397,0.2564668,0.01096857,0.08075576,0.05628207,0.5125821,0.4928428,0.005295903,0.005527301,0.002155109,0.0007986002,0.1827059,0.0008829428,0.007142856,0.01640381,0.07327667,0.000178857,0.0001178389,0.02963269,0.0003016985,0.1339097,0.2659611,0.1284954,0.1748853,0.004228362,0.003695213,0.001986468,0.02298308,0.002133651,0.009545851,0.9703097,0.9760858,0.1391024,0.04318038,0.6576966,0.7687011,2.076486E-06,4.68968E-06,Happy
23.1340543,0.05499803,0.03941127,0.0130567,0.06662098,0.05344543,0.0009291738,4.770341E-06,1.819038E-06,0.2086847,0.2332659,0.2074434,0.2247926,0.02754971,0.3063881,0.261712,0.01086703,0.08087586,0.0564391,0.5147002,0.4941434,0.005270151,0.005480571,0.002145801,0.0007761894,0.1814978,0.000887314,0.007163694,0.01623409,0.0737699,0.0001785638,0.0001173255,0.02924107,0.0002951475,0.1324019,0.2629737,0.1266116,0.1716705,0.004267474,0.00378808,0.001986565,0.02291979,0.002127001,0.009550636,0.9701106,0.9759229,0.1384491,0.04234522,0.6545591,0.7694644,2.041841E-06,4.675885E-06,Happy
23.1529463,0.05739787,0.04087357,0.01255837,0.06476162,0.05239442,0.000927477,4.715736E-06,1.78504E-06,0.2097525,0.233816,0.2071476,0.2241382,0.02671023,0.3085664,0.2648195,0.0108588,0.08103664,0.05660799,0.5163369,0.4951678,0.005240537,0.005429644,0.002137715,0.0007557869,0.1810177,0.0008972073,0.007213393,0.01614675,0.07429814,0.0001741518,0.000114316,0.02889343,0.0002904736,0.1309116,0.2601909,0.1264462,0.1706212,0.004272663,0.003883903,0.001985504,0.02315016,0.002106295,0.009507435,0.969925,0.975751,0.1367593,0.04163244,0.6479329,0.7665702,2.012406E-06,4.666036E-06,Happy
23.1737916,0.05843032,0.04186984,0.01221153,0.06412303,0.05157351,0.0009247442,4.690798E-06,1.767179E-06,0.2099599,0.2340307,0.2067024,0.2234244,0.02649324,0.3082828,0.2649401,0.01092215,0.08124056,0.05677684,0.5173568,0.4958147,0.005234227,0.005398091,0.002133775,0.0007403254,0.1804831,0.0009049166,0.007240866,0.0160449,0.07443128,0.000171324,0.0001124953,0.02878929,0.000285173,0.1301295,0.2586791,0.1264654,0.1702161,0.004283471,0.003986484,0.001982798,0.02328623,0.002091109,0.009487142,0.9697536,0.9756022,0.1355664,0.04137081,0.6442785,0.7646502,2.001304E-06,4.660094E-06,Happy
